Numéro séquentiel,Nature des dommages,Type d'usager,Type de véhicule,Marque,Modèle,Cylindré,Année de fabrication
3268,Graves,Piéton,Automobile,MAZDA,3,002001,2010
896,Graves,Piéton,Véhicule léger non précisé,,,,
896,Graves,Piéton,Automobile,TOYOT,MATRI,002400,2009
896,Graves,Piéton,VUS,BMW,X3,002493,2006
1462,Graves,Piéton,Automobile,FORD,CROWN,004608,2005
1638,Graves,Piéton,Automobile,TOYOT,YARIS,001492,2008
970,Graves,Piéton,Automobile,HYUND,VELOS,001607,2013
2035,Graves,Piéton,VUS,FORD,EXPLO,004608,2004
2036,Graves,Piéton,Véhicule léger non précisé,,,,
2409,Graves,Piéton,Camionnette,MAZDA,B3000,002985,2007
4300,Graves,Piéton,Camionnette,GMC,CAN,002800,2006
971,Graves,Piéton,Automobile,HYUND,ACCEN,001607,2006
3593,Graves,Piéton,Automobile,CHEVR,COBAL,002197,2008
1801,Graves,Piéton,Camionnette,CHEVR,SILVE,005297,2007
4136,Graves,Piéton,Véhicule-outil,,,,
2038,Graves,Piéton,Automobile,TOYOT,COROL,001804,2010
4410,Graves,Piéton,Automobile,HONDA,CIVIC,001804,2009
4410,Graves,Piéton,Automobile,HONDA,CIVIC,001804,2009
3823,Graves,Piéton,Véhicule léger non précisé,,,,
3823,Graves,Piéton,Fourgonnette,DODGE,CARAV,002968,2000
1887,Graves,Piéton,Véhicule léger non précisé,,,,
1887,Graves,Piéton,Automobile,CHEVR,COBAL,002197,2010
1887,Graves,Piéton,Automobile,HYUND,ACCEN,001607,2009
1887,Graves,Piéton,VUS,MITSU,OUTLA,003001,2008
1463,Graves,Piéton,Automobile,HYUND,ACCEN,001607,2004
1041,Graves,Piéton,Automobile,NISSA,MAXIM,002985,2000
1041,Graves,Piéton,Automobile,MERCE,SLK23,002296,2000
3517,Graves,Piéton,Automobile,DODGE,CALIB,001804,2007
1260,Graves,Piéton,Automobile,MAZDA,6,002500,2009
1204,Graves,Piéton,Véhicule léger non précisé,,,,
1204,Graves,Piéton,VUS,HONDA,CR-V,001968,2001
3583,Graves,Piéton,Camion,MACK,600,010807,2008
234,Graves,Piéton,Automobile,VOLVO,S70,002443,2000
234,Graves,Piéton,Automobile,VOLVO,S70,002443,2000
2770,Graves,Piéton,Véhicule léger non précisé,BLUEB,VISIO,000000,2012
3934,Graves,Piéton,Automobile,HYUND,ACCEN,001600,2008
3934,Graves,Piéton,Fourgonnette,FORD,WINDS,003805,2003
1311,Graves,Piéton,Automobile,NISSA,MAXIM,003509,2002
1311,Graves,Piéton,VUS,VOLKS,TIGUA,001984,2011
1639,Graves,Piéton,VUS,GMC,ACADI,003608,2010
51,Graves,Piéton,Véhicule léger non précisé,FORD,DRW,006396,2008
2040,Graves,Piéton,Fourgonnette,FORD,WINDS,003805,2003
3090,Graves,Piéton,Automobile,HONDA,CIVIC,001591,2000
807,Graves,Piéton,Camionnette,CHEVR,C30,006215,1985
2411,Graves,Piéton,VUS,HYUND,SANTA,002657,2004
3091,Graves,Piéton,VUS,KIA,SOREN,003493,2011
1709,Graves,Piéton,Camionnette,TOYOT,TUNDR,005707,2008
2278,Graves,Piéton,Camionnette,CHEVR,SILVE,004805,2007
2041,Graves,Piéton,Automobile,HONDA,CIVIC,001804,2010
1710,Graves,Piéton,Véhicule léger non précisé,FORD,FSER,006700,2013
236,Graves,Piéton,Véhicule léger non précisé,,,,
1803,Graves,Piéton,Automobile,MITSU,LANCE,002394,2004
2772,Graves,Piéton,Automobile,TOYOT,COROL,001787,2004
3408,Graves,Piéton,Automobile,NISSA,MAXIM,003509,2005
3556,Graves,Piéton,Fourgonnette,DODGE,CARAV,003296,2003
1206,Graves,Piéton,Automobile,BUICK,ALLUR,003805,2006
2773,Graves,Piéton,Automobile,CHEVR,AVEO,001607,2005
3269,Graves,Piéton,Autres,,,,
2042,Graves,Piéton,Fourgonnette,FORD,TRANS,002001,2012
2774,Graves,Piéton,Véhicule léger non précisé,BLUEB,A3FE,005200,2005
848,Graves,Piéton,Automobile,TOYOT,COROL,001800,2004
1466,Graves,Piéton,Véhicule léger non précisé,,,,
1466,Graves,Piéton,VUS,CHEVR,ORLAN,002394,2012
2586,Graves,Piéton,Fourgonnette,DODGE,CARAV,003296,2007
2586,Graves,Piéton,Fourgonnette,DODGE,CARAV,003296,2007
614,Graves,Piéton,Véhicule léger non précisé,,,,
1026,Graves,Piéton,Véhicule léger non précisé,,,,
4040,Graves,Piéton,Véhicule léger non précisé,,,,
2043,Graves,Piéton,Automobile,FORD,TAURU,002985,2002
389,Graves,Piéton,Automobile,NOVAB,LFS,000000,2010
1352,Graves,Piéton,Véhicule léger non précisé,,,,
1352,Graves,Piéton,Véhicule léger non précisé,,,,
1044,Graves,Piéton,Véhicule léger non précisé,,,,
2044,Graves,Piéton,Automobile,VOLKS,GTI,001787,2003
3557,Graves,Piéton,Camionnette,CHEVR,SILVE,005297,2007
120,Graves,Piéton,Automobile,HONDA,CIVIC,001804,2013
972,Graves,Piéton,Camionnette,DODGE,RAM,005707,2011
121,Graves,Piéton,VUS,HONDA,CR-V,002400,2009
2731,Graves,Piéton,Véhicule léger non précisé,,,,
1354,Graves,Piéton,Automobile,NISSA,SENTR,002001,2012
2412,Graves,Piéton,Automobile,NISSA,VERSA,001804,2009
3730,Graves,Piéton,Autres,,,,
3165,Graves,Piéton,Automobile,HONDA,ACCO,002394,2008
1686,Graves,Piéton,Fourgonnette,OLDSM,SILHO,003395,1999
849,Graves,Piéton,Automobile,NISSA,MAXIM,002985,2001
1355,Graves,Piéton,VUS,FORD,EXPLO,004018,1999
1768,Graves,Piéton,Véhicule léger non précisé,FORD,F-SER,006707,2012
3597,Graves,Piéton,Automobile,VOLKS,RABBI,002476,2008
4355,Graves,Piéton,Tracteur routier,,,,
4355,Graves,Piéton,Fourgonnette,DODGE,CARAV,003608,2013
809,Graves,Piéton,Camionnette,FORD,F150,004608,2003
1868,Graves,Piéton,Camion,FREIG,MCV,008281,2002
1868,Graves,Piéton,Automobile,DODGE,SX2.0,002000,2003
2588,Graves,Piéton,Automobile,HONDA,CIVIC,001591,1998
4232,Graves,Piéton,Camionnette,TOYOT,TUNDR,004674,2001
3092,Graves,Piéton,Automobile,NISSA,SENTR,001771,2006
6,Graves,Piéton,Autres,,,,
1356,Graves,Piéton,VUS,FORD,EXPLO,003509,2014
1420,Graves,Piéton,Véhicule léger non précisé,,,,
1470,Graves,Piéton,Véhicule léger non précisé,,,,
1470,Graves,Piéton,Automobile,MAZDA,3,002001,2005
1470,Graves,Piéton,Automobile,HONDA,CIVIC,001804,2013
900,Graves,Piéton,Automobile,CHRYS,300,003509,2009
1031,Graves,Piéton,Automobile,MINI,COOPE,001607,2006
2045,Graves,Piéton,Véhicule léger non précisé,,,,
2045,Graves,Piéton,Automobile,FIAT,500,001394,2012
2779,Graves,Piéton,Automobile,HONDA,CIVIC,001804,2012
3300,Graves,Piéton,VUS,GMC,JIMMY,004297,2000
1313,Graves,Piéton,Automobile,TOYOT,COROL,001804,2009
534,Graves,Piéton,Automobile,TOYOT,PRIUS,000000,2013
1473,Graves,Piéton,Automobile,FORD,FOCUS,002001,2012
2280,Graves,Piéton,Automobile,MAZDA,PROTE,001837,1999
2782,Graves,Piéton,Véhicule léger non précisé,,,,
2413,Graves,Piéton,Autobus scolaire,FREIG,CHA,007199,2003
2590,Graves,Piéton,Automobile,TOYOT,TERCE,001492,1999
2344,Graves,Piéton,Véhicule léger non précisé,,,,
2504,Graves,Piéton,Automobile,FORD,FOCUS,002001,2005
391,Graves,Piéton,Automobile,NISSA,SENTR,001771,2002
2667,Graves,Piéton,Automobile,TOYOT,MATRI,001787,2004
2414,Graves,Piéton,Fourgonnette,DODGE,CARAV,003608,2013
291,Graves,Piéton,Véhicule léger non précisé,,,,
2784,Graves,Piéton,Véhicule léger non précisé,,,,
1208,Graves,Piéton,Automobile,AUDI,A4,001984,2009
1804,Graves,Piéton,Fourgonnette,DODGE,CARAV,003772,2003
1804,Graves,Piéton,VUS,SUBAR,FORES,002460,2010
122,Graves,Piéton,VUS,HONDA,CR-V,002394,2010
4275,Graves,Piéton,Camionnette,FORD,RNG,004018,1992
83,Graves,Piéton,Automobile,VOLVO,VN,012004,2003
1474,Graves,Piéton,Automobile,CHEVR,AVEO,001607,2009
850,Graves,Piéton,Automobile,TOYOT,CELIC,001787,2004
1806,Graves,Piéton,Automobile,NOVAB,LFS,000000,2004
2415,Graves,Piéton,Camionnette,CHEVR,SILVE,005297,2008
1892,Graves,Piéton,Automobile,HYUND,ELANT,001984,2011
2047,Graves,Piéton,Automobile,NISSA,VERSA,001804,2012
3123,Graves,Piéton,Véhicule léger non précisé,,,,
460,Graves,Piéton,Automobile,NOVAB,LFS,000000,2009
948,Graves,Piéton,Automobile,KIA,SPECT,002001,2005
1893,Graves,Piéton,Automobile,FORD,FOCUS,002001,2003
2786,Graves,Piéton,VUS,HYUND,SANTA,003477,2010
851,Graves,Piéton,VUS,NISSA,MURAN,003493,2007
4162,Graves,Piéton,Automobile,CHEVR,HHR,002197,2008
3558,Graves,Piéton,VUS,SUZUK,SIDEK,001591,1991
461,Graves,Piéton,VUS,PONTI,TORRE,003395,2008
535,Graves,Piéton,Automobile,HONDA,ACCOR,002394,2008
3944,Graves,Piéton,Camion,HINO,HIN,004739,2010
1894,Graves,Piéton,Véhicule léger non précisé,,,,
2591,Graves,Piéton,Camionnette,DODGE,RAM,005658,2004
7,Graves,Piéton,Camion,,,,
7,Graves,Piéton,Véhicule-outil,,,,
4085,Graves,Piéton,Automobile,PONTI,G5,002197,2007
2282,Graves,Piéton,Véhicule-outil,JCB,3CX14,000000,2010
3491,Graves,Piéton,Véhicule léger non précisé,,,,
2048,Graves,Piéton,VUS,MAZDA,TRIBU,002500,2010
462,Graves,Piéton,Automobile,VOLKS,JETTA,001984,2011
462,Graves,Piéton,Automobile,VOLKS,JETTA,001984,2011
810,Graves,Piéton,Automobile,NISSA,ALTIM,002509,2002
9,Graves,Piéton,Automobile,HONDA,CIVIC,001804,2007
84,Graves,Piéton,Fourgonnette,TOYOT,SIENN,003509,2011
392,Graves,Piéton,Automobile,HYUND,ACCEN,001607,2002
2049,Graves,Piéton,Véhicule léger non précisé,,,,
2787,Graves,Piéton,Automobile,MAZDA,3,002001,2012
2788,Graves,Piéton,Automobile,TOYOT,COROL,001787,2000
4256,Graves,Piéton,Automobile,DODGE,SX2.0,002001,2005
1263,Graves,Piéton,Automobile,CHEVR,CAVAL,002181,2001
237,Graves,Piéton,Automobile,TOYOT,MATRI,001787,2003
4058,Graves,Piéton,Camion,,,,
901,Graves,Piéton,Automobile,CHEVR,HHR,002394,2006
2416,Graves,Piéton,Automobile,CHEVR,IMPAL,003509,2010
712,Graves,Piéton,Fourgonnette,DODGE,CARAV,003296,2007
2417,Graves,Piéton,Automobile,TOYOT,YARIS,001492,2009
3410,Graves,Piéton,Autobus,PREVO,X3-45,000000,2009
1264,Graves,Piéton,Automobile,DODGE,SX2.0,002001,2005
2789,Graves,Piéton,Automobile,NOVAB,CLASS,000000,1994
713,Graves,Piéton,VUS,LEXUS,RX400,003313,2007
1807,Graves,Piéton,Autobus,,,,
3242,Graves,Piéton,Camionnette,DODGE,RAM,005707,2014
973,Graves,Piéton,Automobile,TOYOT,YARIS,001509,2007
1032,Graves,Piéton,Automobile,TOYOT,MATRI,001804,2010
2790,Graves,Piéton,Véhicule-outil,CAT,950H,000000,2009
3124,Graves,Piéton,Automobile,HONDA,CIVIC,001673,2001
3124,Graves,Piéton,Automobile,HYUND,ACCEN,001607,2004
464,Graves,Piéton,VUS,AUDI,Q5,001984,2013
464,Graves,Piéton,VUS,AUDI,Q5,001984,2013
124,Graves,Piéton,Automobile,TOYOT,COROL,001804,2009
124,Graves,Piéton,VUS,CADIL,ESCAL,005969,2002
666,Graves,Piéton,Automobile,AUDI,A3,001984,2009
1475,Graves,Piéton,Automobile,ACURA,TL,003231,1999
1475,Graves,Piéton,Automobile,HONDA,CIVIC,001804,2007
4086,Graves,Piéton,Fourgonnette,PLYMO,VOYAG,003300,1996
1326,Graves,Piéton,Automobile,FORD,FOCUS,002001,2007
3952,Graves,Piéton,Automobile,HONDA,CIVIC,001804,2009
949,Graves,Piéton,Automobile,NOVAB,ARTIC,000000,2013
292,Graves,Piéton,Automobile,TOYOT,ECHO,001492,2000
1477,Graves,Piéton,Automobile,NOVAB,LFS,000000,2008
3988,Graves,Piéton,Véhicule-outil,MF,5455,000000,2009
3577,Graves,Piéton,VUS,CHEVR,EQUIN,002394,2012
1,Graves,Piéton,Camion,FREIG,CON,012824,2007
1,Graves,Piéton,Camion,,,,
3320,Graves,Piéton,Fourgonnette,DODGE,CARAV,003000,2000
238,Graves,Piéton,Automobile,NISSA,VERSA,001607,2014
714,Graves,Piéton,VUS,INFIN,EX35,003509,2008
1265,Graves,Piéton,Véhicule léger non précisé,,,,
1265,Graves,Piéton,VUS,JEEP,LIBER,003706,2007
1640,Graves,Piéton,Véhicule léger non précisé,,,,
126,Graves,Piéton,Automobile,SATUR,L300,003001,2004
536,Graves,Piéton,Véhicule léger non précisé,,,,
1357,Graves,Piéton,Automobile,NISSA,SENTR,001771,2001
1209,Graves,Piéton,VUS,CHEVR,EQUIN,002394,2010
1327,Graves,Piéton,Automobile,HONDA,CIVIC,001673,2005
1769,Graves,Piéton,Tracteur routier,INTER,PROST,015005,2009
3464,Graves,Piéton,Véhicule-outil,CATER,420F,000000,2012
85,Graves,Piéton,VUS,HONDA,CR-V,002394,2012
2629,Graves,Piéton,Automobile,CHEVR,CAVAL,002181,2001
467,Graves,Piéton,VUS,NISSA,ROGUE,002509,2012
468,Graves,Piéton,Fourgonnette,TOYOT,SIENN,003509,2011
811,Graves,Piéton,Autres,,,,
3126,Graves,Piéton,Automobile,MAZDA,6,003706,2009
469,Graves,Piéton,Automobile,ACURA,CSX,002001,2007
3094,Graves,Piéton,Automobile,HYUND,ELANT,001984,2009
2284,Graves,Piéton,Automobile,TOYOT,YARIS,001492,2010
2285,Graves,Piéton,Automobile,VOLKS,CABRI,001984,1997
3411,Graves,Piéton,Véhicule-outil,,,,
4042,Graves,Piéton,Automobile,MAZDA,3,002000,2004
470,Graves,Piéton,Automobile,CHEVR,CORVE,006199,2014
2792,Graves,Piéton,Automobile,TOYOT,COROL,001787,2005
2793,Graves,Piéton,Camionnette,RAM,1500,005707,2013
86,Graves,Piéton,Véhicule léger non précisé,,,,
2379,Graves,Piéton,Fourgonnette,CHEVR,UPLAN,003903,2007
3642,Graves,Piéton,Véhicule léger non précisé,,,,
4119,Graves,Piéton,Automobile,VOLKS,JETTA,001968,2011
1478,Graves,Piéton,Automobile,TOYOT,CAMRY,002493,2011
715,Graves,Piéton,Fourgonnette,DODGE,GRAND,003608,2014
436,Graves,Piéton,Fourgonnette,DODGE,CARAV,003296,2004
3215,Graves,Piéton,Camionnette,GMC,SIE,006002,2015
127,Graves,Piéton,Automobile,CHEVR,IMPAL,003395,2005
4151,Graves,Piéton,Fourgonnette,MAZDA,5,002493,2012
87,Graves,Piéton,Automobile,HONDA,CIVIC,001673,2003
3622,Graves,Piéton,Véhicule léger non précisé,,,,
2592,Graves,Piéton,Véhicule léger non précisé,FORD,F450,006707,2014
3914,Graves,Piéton,Véhicule-outil,KUBOT,R420S,000000,2012
3914,Graves,Piéton,Automobile,FORD,FOCUS,002001,2003
1046,Graves,Piéton,Automobile,FORD,CROWN,004608,2011
852,Graves,Piéton,Automobile,NOVA,LFS,000000,2011
1033,Graves,Piéton,Automobile,TOYOT,ECHO,001500,2002
2794,Graves,Piéton,Automobile,MAZDA,3,002296,2006
716,Graves,Piéton,Fourgonnette,FORD,VAN,004608,2013
10,Graves,Piéton,Camionnette,FORD,F150,005395,2010
4412,Graves,Piéton,Automobile,VOLVO,V70,002443,2000
538,Graves,Piéton,Véhicule léger non précisé,,,,
2795,Graves,Piéton,Camionnette,FORD,F150,005395,2010
1047,Graves,Piéton,Automobile,TOYOT,YARIS,001509,2007
239,Graves,Piéton,Autres,,,,
902,Graves,Piéton,Automobile,CHEVR,COBAL,002197,2009
717,Graves,Piéton,Automobile,BUICK,CENTU,003132,2003
1479,Graves,Piéton,Véhicule d'équipement,,,,
1479,Graves,Piéton,VUS,HYUND,SANTA,002361,2014
293,Graves,Piéton,Automobile,FORD,FOCUS,002001,2004
471,Graves,Piéton,Automobile,CADIL,CTS,003608,2007
3127,Graves,Piéton,Automobile,TOYOT,PRIUS,001492,2012
950,Graves,Piéton,Automobile,MAZDA,3,002296,2004
1210,Graves,Piéton,Automobile,BUICK,REGAL,002394,2011
1268,Graves,Piéton,Automobile,CHEVR,COBAL,002197,2010
3541,Graves,Piéton,Camionnette,GMC,CAN,003509,2005
3541,Graves,Piéton,Camionnette,GMC,CAN,003509,2005
1142,Graves,Piéton,VUS,MITSU,OUTLA,003001,2011
2376,Graves,Piéton,Automobile,DODGE,CHARG,003509,2008
719,Graves,Piéton,Automobile,MERCE,C300,003493,2013
394,Graves,Piéton,Véhicule léger non précisé,,,,
2506,Graves,Piéton,Automobile,DODGE,SX2.0,002001,2003
616,Graves,Piéton,Véhicule léger non précisé,,,,
11,Graves,Piéton,Automobile,HYUND,ELANT,001984,2010
1269,Graves,Piéton,Automobile,CHRYS,INTRE,002739,2000
1143,Graves,Piéton,Véhicule léger non précisé,,,,
1050,Graves,Piéton,Automobile,BMW,328XI,002001,2013
1050,Graves,Piéton,Automobile,HYUND,SONAT,002361,2011
3412,Graves,Piéton,Autres,,,,
3412,Graves,Piéton,Véhicule léger non précisé,,,,
3412,Graves,Piéton,Véhicule léger non précisé,,,,
2419,Graves,Piéton,Véhicule léger non précisé,,,,
2419,Graves,Piéton,Automobile,HONDA,CIVIC,001673,2003
2419,Graves,Piéton,Camionnette,DODGE,RAM,005215,1997
1481,Graves,Piéton,Camion,KENWO,CON,010807,2010
3194,Graves,Piéton,Véhicule léger non précisé,,,,
1315,Graves,Piéton,VUS,FORD,EXPLO,004001,2006
2289,Graves,Piéton,Véhicule léger non précisé,,,,
1052,Graves,Piéton,Automobile,AUDI,S4,002673,2001
393,Graves,Piéton,Automobile,NOVAB,LFS,000000,2003
2801,Graves,Piéton,Camion,MACK,600,011938,2007
1211,Graves,Piéton,Automobile,BMW,128I,003000,2008
3937,Graves,Piéton,VUS,MAZDA,CX-7,002263,2007
1643,Graves,Piéton,Automobile,TOYOT,COROL,001804,2014
128,Graves,Piéton,Véhicule léger non précisé,,,,
128,Graves,Piéton,Véhicule léger non précisé,,,,
128,Graves,Piéton,Véhicule léger non précisé,,,,
128,Graves,Piéton,Automobile,MERCE,E350,003493,2011
128,Graves,Piéton,Automobile,NISSA,ALTIM,002509,2002
128,Graves,Piéton,VUS,ACURA,RDX,002296,2010
3819,Graves,Piéton,Automobile,SUBAR,OUTBA,002460,2012
2054,Graves,Piéton,Automobile,FORD,FOCUS,002001,2005
2055,Graves,Piéton,Camionnette,FORD,RNG,002296,2007
2700,Graves,Piéton,Véhicule léger non précisé,,,,
951,Graves,Piéton,VUS,NISSA,ROGUE,002509,2010
1482,Graves,Piéton,VUS,HYUND,SANTA,002001,2013
2056,Graves,Piéton,Automobile,HYUND,ACCEN,001607,2005
2803,Graves,Piéton,Automobile,HYUND,ACCEN,001607,2014
12,Graves,Piéton,Fourgonnette,HONDA,ODYSS,003509,2010
1443,Graves,Piéton,Automobile,SUZUK,SX4,002001,2011
2804,Graves,Piéton,Automobile,HYUND,ACCEN,001607,2003
2290,Graves,Piéton,Automobile,ACURA,INTEG,001837,1996
1717,Graves,Piéton,Automobile,TOYOT,TC,002500,2011
3195,Graves,Piéton,VUS,HONDA,CR-V,001968,2001
3195,Graves,Piéton,VUS,HONDA,CR-V,001968,2001
4137,Graves,Piéton,Véhicule léger non précisé,,,,
4137,Graves,Piéton,Camionnette,FORD,F150,005412,2001
4137,Graves,Piéton,Véhicule léger non précisé,FORD,COL,014644,1986
539,Graves,Piéton,Camionnette,CHEVR,SILVE,004297,2010
539,Graves,Piéton,Camionnette,CHEVR,SILVE,004297,2010
2058,Graves,Piéton,Automobile,TOYOT,YARIS,001509,2006
4245,Graves,Piéton,Véhicule-outil,,,,
4245,Graves,Piéton,Véhicule léger non précisé,HINO,HFD,006494,1994
3949,Graves,Piéton,VUS,DODGE,JOURN,002394,2011
3871,Graves,Piéton,Tracteur routier,KENWO,CON,012020,2002
356,Graves,Piéton,Camion,,,,
903,Graves,Piéton,Automobile,HONDA,CIVIC,001591,2000
903,Graves,Piéton,Automobile,SUZUK,SX4,002001,2009
903,Graves,Piéton,Véhicule léger non précisé,BLUEB,A3FE,000000,2007
4276,Graves,Piéton,Autres,,,,
1483,Graves,Piéton,Automobile,HONDA,ACCO,002394,2008
1644,Graves,Piéton,Automobile,CHRYS,INTRE,002739,1998
4414,Graves,Piéton,Automobile,VOLKS,JETTA,001968,2011
4414,Graves,Piéton,Automobile,INFIN,Q50,003706,2014
4414,Graves,Piéton,VUS,FORD,ESCAP,002001,2014
474,Graves,Piéton,Automobile,KIA,FORTE,002001,2010
3096,Graves,Piéton,Fourgonnette,MAZDA,5,002493,2012
1212,Graves,Piéton,Autres,,,,
541,Graves,Piéton,Véhicule léger non précisé,,,,
2239,Graves,Piéton,VUS,DODGE,NITRO,003690,2007
2631,Graves,Piéton,Automobile,PONTI,MONTA,003509,2005
3465,Graves,Piéton,Véhicule léger non précisé,BLUEB,VISIO,000000,2007
542,Graves,Piéton,Automobile,CHEVR,CRUZE,001394,2014
3416,Graves,Piéton,Automobile,HONDA,CIVIC,001804,2007
3599,Graves,Piéton,Automobile,BUICK,VERAN,002394,2014
3599,Graves,Piéton,Automobile,BUICK,VERAN,002394,2014
1144,Graves,Piéton,Automobile,TOYOT,CAMRY,002394,2009
1898,Graves,Piéton,Véhicule léger non précisé,,,,
2062,Graves,Piéton,Automobile,NOVAB,LFS,000000,2008
3243,Graves,Piéton,VUS,CHEVR,TRAIL,004198,2002
906,Graves,Piéton,Automobile,SATUR,SC1,001902,2002
1421,Graves,Piéton,Automobile,HYUND,SONAT,002345,2005
1421,Graves,Piéton,Automobile,HONDA,FIT,001492,2008
53,Graves,Piéton,Fourgonnette,FORD,FREES,004198,2007
2595,Graves,Piéton,Véhicule-outil,,,,
2595,Graves,Piéton,Véhicule-outil,,,,
1485,Graves,Piéton,Automobile,HONDA,CIVIC,001804,2011
2807,Graves,Piéton,Motocyclette,SUZUK,SV100,000996,2006
543,Graves,Piéton,Camion,,,,
3417,Graves,Piéton,Automobile,NISSA,SENTR,002509,2004
952,Graves,Piéton,Véhicule léger non précisé,,,,
1486,Graves,Piéton,Automobile,MAZDA,3,002296,2005
1900,Graves,Piéton,Véhicule léger non précisé,,,,
1900,Graves,Piéton,Automobile,VOLKS,GTI,002788,1995
1900,Graves,Piéton,Automobile,MAZDA,3,002001,2006
980,Graves,Piéton,Automobile,HONDA,CIVIC,001804,2013
2063,Graves,Piéton,Automobile,PONTI,MONTA,003395,2003
3322,Graves,Piéton,Véhicule léger non précisé,,,,
3097,Graves,Piéton,Véhicule léger non précisé,,,,
2808,Graves,Piéton,Véhicule léger non précisé,,,,
476,Graves,Piéton,Automobile,VOLKS,GTI,001984,2013
358,Graves,Piéton,Automobile,FORD,TAURU,002985,2003
1272,Graves,Piéton,VUS,TOYOT,RAV4,003509,2011
1487,Graves,Piéton,Automobile,HONDA,CIVIC,001591,1999
3686,Graves,Piéton,Automobile,FORD,FUSIO,002493,2010
2240,Graves,Piéton,Automobile,NISSA,ALTIM,002394,2000
2240,Graves,Piéton,Automobile,NISSA,ALTIM,002394,2000
2809,Graves,Piéton,Automobile,AUDI,A4,001787,2004
3543,Graves,Piéton,Automobile,DODGE,CALIB,002001,2008
1273,Graves,Piéton,Camionnette,GMC,SIE,006002,2011
1274,Graves,Piéton,Automobile,TOYOT,CAMRY,003001,1999
1364,Graves,Piéton,Automobile,MAZDA,PROTE,002001,2003
1809,Graves,Piéton,Automobile,MITSU,LANCE,002378,2009
294,Graves,Piéton,Automobile,NOVAB,LFS,000000,2009
2691,Graves,Piéton,Automobile,CHEVR,COBAL,002197,2009
3601,Graves,Piéton,Tracteur routier,FREIG,CON,012824,2005
2669,Graves,Piéton,Automobile,TOYOT,COROL,001787,2004
3891,Graves,Piéton,Camionnette,FORD,RNG,004001,2009
54,Graves,Piéton,Véhicule léger non précisé,,,,
54,Graves,Piéton,Véhicule léger non précisé,,,,
54,Graves,Piéton,Véhicule léger non précisé,,,,
54,Graves,Piéton,Automobile,FORD,TAURU,002985,2004
54,Graves,Piéton,VUS,NISSA,PATHF,004001,2007
618,Graves,Piéton,Autres,,,,
618,Graves,Piéton,Autres,,,,
2423,Graves,Piéton,Automobile,MAZDA,3,002001,2004
2424,Graves,Piéton,Automobile,NOVAB,LFS,000000,2008
853,Graves,Piéton,Automobile,VOLKS,JETTA,002476,2007
853,Graves,Piéton,Automobile,CHRYS,SEBRI,002706,2005
853,Graves,Piéton,Automobile,TOYOT,CAMRY,003001,2002
1366,Graves,Piéton,Automobile,VOLKS,GOLF,001984,2003
4301,Graves,Piéton,Automobile,NISSA,ALTIM,002509,2009
3324,Graves,Piéton,VUS,DODGE,JOURN,003509,2010
3544,Graves,Piéton,VUS,NISSA,ROGUE,002509,2012
4262,Graves,Piéton,Automobile,MAZDA,3,002296,2006
1489,Graves,Piéton,Véhicule léger non précisé,,,,
1490,Graves,Piéton,Véhicule léger non précisé,,,,
1490,Graves,Piéton,Automobile,VOLVO,XC70,002509,2005
2064,Graves,Piéton,Véhicule léger non précisé,,,,
2425,Graves,Piéton,Automobile,VOLKS,GOLF,002476,2010
2065,Graves,Piéton,Fourgonnette,DODGE,CARAV,003296,2010
2810,Graves,Piéton,Automobile,HYUND,ACCEN,001607,2010
1214,Graves,Piéton,Automobile,MITSU,LANCE,002001,2013
2597,Graves,Piéton,Fourgonnette,DODGE,CARAV,003296,2009
3953,Graves,Piéton,Automobile,VOLKS,GOLF,002476,2011
1770,Graves,Piéton,Véhicule léger non précisé,,,,
1328,Graves,Piéton,Automobile,KIA,RIO,001607,2006
1035,Graves,Piéton,Camionnette,GMC,SIE,008134,2003
2066,Graves,Piéton,Automobile,FORD,TAURU,003509,2008
720,Graves,Piéton,Automobile,CHEVR,MALIB,002197,2005
4417,Graves,Piéton,Automobile,SUBAR,OUTBA,002460,2008
2292,Graves,Piéton,Véhicule léger non précisé,,,,
2212,Graves,Piéton,Véhicule léger non précisé,,,,
1492,Graves,Piéton,Véhicule léger non précisé,,,,
1367,Graves,Piéton,Automobile,TOYOT,COROL,001804,2011
3386,Graves,Piéton,Camion,WESTE,CNV,012808,2012
3386,Graves,Piéton,Automobile,DODGE,CHARG,003608,2012
3386,Graves,Piéton,Automobile,TOYOT,YARIS,001492,2009
1647,Graves,Piéton,VUS,GMC,SAVAN,006609,2009
1648,Graves,Piéton,Véhicule léger non précisé,,,,
59,Graves,Piéton,VUS,PORSC,MACAN,003001,2015
1215,Graves,Piéton,Camion,FREIG,MCV,010840,1996
3492,Graves,Piéton,Automobile,HYUND,ACCEN,001607,2013
13,Graves,Piéton,Automobile,FORD,TAURU,002985,2003
2632,Graves,Piéton,Automobile,HYUND,ELANT,001804,2012
2811,Graves,Piéton,Automobile,MAZDA,3,002001,2005
1493,Graves,Piéton,Automobile,TOYOT,COROL,001787,2003
1329,Graves,Piéton,Camion,,,,
323,Graves,Piéton,Véhicule léger non précisé,FORD,F350,005395,2009
207,Graves,Piéton,Automobile,HYUND,SONAT,002361,2013
397,Graves,Piéton,Automobile,HONDA,ACCO,002394,2014
1649,Graves,Piéton,Automobile,NOVA,LFS,000000,2012
1771,Graves,Piéton,Automobile,PONTI,SUNFI,002181,2002
