Numéro séquentiel,Nature des dommages,Type d'usager,Type de véhicule,Marque,Modèle,Cylindré,Année de fabrication
806,Graves,Cycliste,Camionnette,GMC,SIE,006002,2011
2555,Graves,Cycliste,Automobile,PONTI,VIBE,001804,2010
2771,Graves,Cycliste,Automobile,KIA,FORTE,002001,2013
290,Graves,Cycliste,VUS,AUDI,Q5,001984,2012
808,Graves,Cycliste,VUS,MAZDA,CX-5,002493,2014
4255,Graves,Cycliste,Véhicule léger non précisé,,,,
698,Graves,Cycliste,Automobile,TOYOT,YARIS,001492,2008
2488,Graves,Cycliste,Automobile,HYUND,ELANT,001984,2012
3270,Graves,Cycliste,Automobile,PONTI,G5,002197,2007
1261,Graves,Cycliste,Automobile,HONDA,CIVIC,001804,2009
2775,Graves,Cycliste,Véhicule léger non précisé,,,,
1027,Graves,Cycliste,Automobile,TOYOT,COROL,001787,2003
1027,Graves,Cycliste,Véhicule léger non précisé,FORD,ECONO,005412,2012
1891,Graves,Cycliste,Automobile,HONDA,CIVIC,001804,2006
1207,Graves,Cycliste,Véhicule léger non précisé,,,,
3973,Graves,Cycliste,Véhicule léger non précisé,,,,
3409,Graves,Cycliste,Automobile,HONDA,CIVIC,001591,2000
82,Graves,Cycliste,VUS,JEEP,TJ,002460,1998
1029,Graves,Cycliste,Automobile,DODGE,CHARG,005700,2006
2589,Graves,Cycliste,Automobile,HYUND,ACCEN,001492,2003
2778,Graves,Cycliste,Véhicule léger non précisé,,,,
3731,Graves,Cycliste,Véhicule-outil,DEERE,310SG,000000,2006
3271,Graves,Cycliste,Automobile,KIA,RIO,001607,2010
1711,Graves,Cycliste,Automobile,MAZDA,MX-5,001607,1993
615,Graves,Cycliste,Véhicule léger non précisé,,,,
2505,Graves,Cycliste,Automobile,FORD,FOCUS,002001,2012
2283,Graves,Cycliste,Fourgonnette,FORD,CTV,006806,2013
3185,Graves,Cycliste,Automobile,KIA,FORTE,002001,2013
2286,Graves,Cycliste,Véhicule léger non précisé,,,,
354,Graves,Cycliste,Automobile,PONTI,WAVE,001607,2007
667,Graves,Cycliste,Camion,STERL,STE,007199,2005
537,Graves,Cycliste,Tracteur routier,INTER,5600,015005,2006
1045,Graves,Cycliste,Automobile,TOYOT,CAMRY,002493,2011
1713,Graves,Cycliste,Automobile,FORD,FOCUS,001984,2003
1895,Graves,Cycliste,Camionnette,CHEVR,SILVE,006609,2007
2699,Graves,Cycliste,Automobile,CHEVR,MALIB,002394,2010
2287,Graves,Cycliste,Camionnette,FORD,F150,005002,2013
4087,Graves,Cycliste,Véhicule léger non précisé,FORD,ECONO,004608,2011
2630,Graves,Cycliste,Véhicule léger non précisé,,,,
2651,Graves,Cycliste,Camionnette,FORD,MHV,008200,1986
2796,Graves,Cycliste,VUS,TOYOT,HIGHL,003313,2005
1896,Graves,Cycliste,Véhicule léger non précisé,,,,
1896,Graves,Cycliste,Véhicule léger non précisé,,,,
322,Graves,Cycliste,Automobile,TOYOT,MATRI,001804,2012
1267,Graves,Cycliste,Automobile,TOYOT,ECHO,001492,2005
2652,Graves,Cycliste,Tracteur routier,FREIG,114SD,012808,2013
2797,Graves,Cycliste,Véhicule léger non précisé,,,,
1048,Graves,Cycliste,Automobile,TOYOT,CAMRY,002493,2012
812,Graves,Cycliste,Automobile,MAZDA,3,002001,2006
2288,Graves,Cycliste,Camion,MITSU,FUSO,004903,2007
977,Graves,Cycliste,Camionnette,TOYOT,RAV4,002001,1997
1641,Graves,Cycliste,Automobile,FORD,FOCUS,002001,2008
472,Graves,Cycliste,Automobile,TOYOT,COROL,001787,2007
1049,Graves,Cycliste,Automobile,TOYOT,CAMRY,002394,2007
1034,Graves,Cycliste,Véhicule léger non précisé,,,,
4432,Graves,Cycliste,Motocyclette,,,,
240,Graves,Cycliste,Véhicule-outil,JOHND,GODOR,000000,2008
4413,Graves,Cycliste,Camionnette,CHEVR,SILVE,006002,2007
2051,Graves,Cycliste,Automobile,KIA,SPECT,002001,2006
2799,Graves,Cycliste,Motocyclette,,,,
2052,Graves,Cycliste,VUS,HONDA,PILOT,003493,2009
1642,Graves,Cycliste,VUS,HYUND,TUCSO,002361,2013
52,Graves,Cycliste,Véhicule léger non précisé,FORD,LCF,004510,2007
2800,Graves,Cycliste,Véhicule léger non précisé,INTER,40S,006396,2013
978,Graves,Cycliste,Camion,WHGMC,ARO,014021,1995
1714,Graves,Cycliste,Automobile,ACURA,ILX,002001,2014
3095,Graves,Cycliste,Automobile,TOYOT,MATRI,001787,2004
2238,Graves,Cycliste,Fourgonnette,MERCE,SPRIN,002148,2014
1715,Graves,Cycliste,Automobile,MITSU,LANCE,000000,1994
3369,Graves,Cycliste,Automobile,CHEVR,CRUZE,001394,2013
1716,Graves,Cycliste,Automobile,CHEVR,IMPAL,003509,2007
2802,Graves,Cycliste,VUS,GMC,TERRA,002394,2013
617,Graves,Cycliste,Camionnette,ELGIN,WHIRL,007691,2010
3415,Graves,Cycliste,Camionnette,FORD,F150,005395,2009
2422,Graves,Cycliste,Camionnette,TOYOT,TACOM,004001,2006
2668,Graves,Cycliste,Automobile,TOYOT,ECHO,001492,2005
4026,Graves,Cycliste,Automobile,HONDA,CIVIC,001591,1997
4236,Graves,Cycliste,Fourgonnette,DODGE,CARAV,003296,2001
186,Graves,Cycliste,VUS,FORD,ESCAP,002296,2005
813,Graves,Cycliste,Automobile,HYUND,ELANT,001984,2003
2805,Graves,Cycliste,Automobile,TOYOT,YARIS,001492,2008
1270,Graves,Cycliste,VUS,NISSA,PATHF,004001,2012
4019,Graves,Cycliste,Automobile,HONDA,CIVIC,001804,2012
1271,Graves,Cycliste,Automobile,TOYOT,PASEO,001492,1992
3128,Graves,Cycliste,Automobile,CHEVR,VENTR,003395,2004
2059,Graves,Cycliste,Automobile,HONDA,ACCOR,002394,2004
2059,Graves,Cycliste,Automobile,HONDA,ACCOR,002394,2004
4302,Graves,Cycliste,Véhicule léger non précisé,,,,
395,Graves,Cycliste,Automobile,HONDA,CIVIC,001804,2007
979,Graves,Cycliste,Véhicule léger non précisé,,,,
2594,Graves,Cycliste,Autres,,,,
2061,Graves,Cycliste,Automobile,TOYOT,MATRI,001787,2006
475,Graves,Cycliste,VUS,MAZDA,TRIBU,002968,2003
2291,Graves,Cycliste,Camionnette,GMC,SIE,005297,2013
2806,Graves,Cycliste,Automobile,VOLKS,JETTA,001968,2013
1484,Graves,Cycliste,Automobile,HYUND,ACCEN,001607,2005
396,Graves,Cycliste,Automobile,PONTI,VIBE,002394,2009
3684,Graves,Cycliste,Véhicule léger non précisé,,,,
3321,Graves,Cycliste,Automobile,ACURA,INTEG,001837,1993
1645,Graves,Cycliste,Automobile,KIA,FORTE,002361,2012
1899,Graves,Cycliste,Automobile,MERCU,SABLE,002985,1999
1145,Graves,Cycliste,VUS,ISUZU,NQR,005198,2011
1646,Graves,Cycliste,Fourgonnette,KIA,SEDON,003493,2014
4163,Graves,Cycliste,Véhicule léger non précisé,,,,
3370,Graves,Cycliste,Camionnette,RAM,1500,005707,2013
1365,Graves,Cycliste,Autres,,,,
88,Graves,Cycliste,VUS,FORD,FREES,003001,2005
1488,Graves,Cycliste,Automobile,HONDA,CIVIC,001673,2001
